Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.3,142,19L,10670.0,-8282.0,-5457.0
0.0,0.3,142,230L,7759.0,-10782.0,-6000.0
0.0,0.3,142,32L,11823.0,-7692.0,-4149.0
0.0,0.3,142,372L,5553.0,-9073.0,-2090.0
0.0,0.3,142,3L,6057.0,-7937.0,-6144.0
0.0,0.3,142,53L,8780.0,-9104.0,-7016.0
0.0,0.3,142,6L,6530.0,-7937.0,-5809.0
0.0,0.3,142,87L,11006.0,-10045.0,-5871.0
0.0,0.3,19,11L,6507.0,-10601.0,-5782.0
0.0,0.3,19,142L,13194.0,-10604.0,-4742.0
0.0,0.3,19,19L,9844.0,-10799.0,-5930.0
0.0,0.3,19,230L,11728.0,-7502.0,-3001.0
0.0,0.3,19,32L,12435.0,-10546.0,-5457.0
0.0,0.3,19,372L,12579.0,-8058.0,0.0
0.0,0.3,19,3L,8416.0,-10805.0,-6377.0
0.0,0.3,19,53L,12258.0,-10489.0,-6386.0
0.0,0.3,19,6L,6426.0,-10802.0,-6755.0
0.0,0.3,19,87L,14269.0,-10473.0,-6271.0
0.0,0.3,230,11L,8547.0,-8310.0,-7560.0
0.0,0.3,230,142L,9400.0,-8682.0,-4642.0
0.0,0.3,230,19L,9304.0,-8310.0,-7413.0
0.0,0.3,230,230L,5506.0,-9625.0,-5526.0
0.0,0.3,230,32L,9256.0,-8308.0,-7149.0
0.0,0.3,230,372L,6922.0,-8377.0,-2452.0
0.0,0.3,230,3L,6559.0,-8309.0,-7973.0
0.0,0.3,230,53L,9335.0,-8312.0,-7016.0
0.0,0.3,230,6L,6740.0,-8308.0,-7847.0
0.0,0.3,230,87L,13207.0,-8682.0,-3883.0
0.0,0.3,32,11L,9478.0,-10410.0,-5706.0
0.0,0.3,32,142L,8951.0,-10857.0,-7015.0
0.0,0.3,32,19L,11336.0,-10599.0,-5730.0
0.0,0.3,32,230L,15946.0,-10782.0,-6000.0
0.0,0.3,32,32L,10175.0,-10246.0,-5157.0
0.0,0.3,32,372L,8916.0,-10052.0,0.0
0.0,0.3,32,3L,8282.0,-9775.0,-6377.0
0.0,0.3,32,53L,12802.0,-10365.0,-7416.0
0.0,0.3,32,6L,10341.0,-9775.0,-6377.0
0.0,0.3,32,87L,14048.0,-10481.0,-6271.0
0.0,0.3,372,11L,8195.0,-8482.0,-6582.0
0.0,0.3,372,142L,8676.0,-8482.0,-4442.0
0.0,0.3,372,19L,9130.0,-8482.0,-5657.0
0.0,0.3,372,230L,9169.0,-8482.0,-3700.0
0.0,0.3,372,32L,9324.0,-8482.0,-5225.0
0.0,0.3,372,372L,9476.0,-8577.0,-2652.0
0.0,0.3,372,3L,7985.0,-8544.0,-7263.0
0.0,0.3,372,53L,9831.0,-8482.0,-4929.0
0.0,0.3,372,6L,8078.0,-8513.0,-6831.0
0.0,0.3,372,87L,11014.0,-8482.0,-3683.0
0.0,0.3,3,11L,231.0,-1024.0,0.0
0.0,0.3,3,142L,12491.0,-11182.0,-7142.0
0.0,0.3,3,19L,8669.0,-10791.0,-5930.0
0.0,0.3,3,230L,12292.0,-9625.0,-5526.0
0.0,0.3,3,32L,13162.0,-10397.0,-4501.0
0.0,0.3,3,372L,10049.0,-8577.0,-2652.0
0.0,0.3,3,3L,414.0,-1025.0,-47.0
0.0,0.3,3,53L,12139.0,-10412.0,-6086.0
0.0,0.3,3,6L,560.0,-1028.0,-49.0
0.0,0.3,3,87L,11743.0,-10882.0,-6083.0
0.0,0.3,53,11L,14614.0,-9638.0,-4586.0
0.0,0.3,53,142L,9532.0,-10882.0,-6842.0
0.0,0.3,53,19L,12729.0,-10411.0,-4747.0
0.0,0.3,53,230L,8034.0,-9266.0,-5515.0
0.0,0.3,53,32L,10484.0,-9638.0,-4119.0
0.0,0.3,53,372L,4190.0,-10563.0,-3862.0
0.0,0.3,53,3L,10820.0,-10205.0,-5777.0
0.0,0.3,53,53L,13987.0,-10014.0,-6086.0
0.0,0.3,53,6L,8756.0,-10202.0,-6155.0
0.0,0.3,53,87L,12132.0,-10145.0,-5971.0
0.0,0.3,6,11L,5463.0,-10810.0,-6106.0
0.0,0.3,6,142L,13938.0,-10413.0,-5984.0
0.0,0.3,6,19L,7114.0,-10799.0,-5930.0
0.0,0.3,6,230L,9237.0,-8682.0,-3900.0
0.0,0.3,6,32L,13179.0,-10146.0,-7228.0
0.0,0.3,6,372L,10163.0,-8577.0,-2652.0
0.0,0.3,6,3L,429.0,-1075.0,-97.0
0.0,0.3,6,53L,12080.0,-10212.0,-5986.0
0.0,0.3,6,6L,520.0,-1078.0,-99.0
0.0,0.3,6,87L,11709.0,-10807.0,-5983.0
0.0,0.3,87,11L,11294.0,-9829.0,-3986.0
0.0,0.3,87,142L,9813.0,-9829.0,-6384.0
0.0,0.3,87,19L,9275.0,-9829.0,-4251.0
0.0,0.3,87,230L,5978.0,-9829.0,-5415.0
0.0,0.3,87,32L,8314.0,-9829.0,-7386.0
0.0,0.3,87,372L,5523.0,-9829.0,-1906.0
0.0,0.3,87,3L,10177.0,-9829.0,-4315.0
0.0,0.3,87,53L,10009.0,-9829.0,-7416.0
0.0,0.3,87,6L,10152.0,-9829.0,-4228.0
0.0,0.3,87,87L,10857.0,-10045.0,-5871.0
0.0,0.4,11,11L,5244.0,-10802.0,-5860.0
0.0,0.4,11,142L,15519.0,-10604.0,-4745.0
0.0,0.4,11,19L,8332.0,-10796.0,-5713.0
0.0,0.4,11,230L,9820.0,-8282.0,-3392.0
0.0,0.4,11,32L,11724.0,-10202.0,-4249.0
